layer	latent	clinical_exp	model
12	129	"""The model is activated by phrases indicating a reason or purpose for a particular action or decision, often introduced by words like \""to\"", \""because\"", \""due to\"", or \""in order to\"", and sometimes including words that provide more context or specificity about the reason or purpose."""	2B
12	1290	"""Anatomical structures, medical procedures, and diagnostic findings, particularly those related to the vascular system."""	2B
12	1291	"""The model is activated by phrases describing traumatic events, injuries, or medical emergencies, often involving falls, head trauma, or loss of consciousness."""	2B
12	1292	"""Time elapsed since a significant event, often related to substance use or health changes."""	2B
12	1293	"""Medication names, dosages, and administration instructions."""	2B
12	1294	"""Medication names."""	2B
12	1296	"""Medical test results, studies, or interpretations, as well as certain medical findings or conditions."""	2B
12	1297	"""The model is activated by tokens that are part of medical terminology, particularly those that are abbreviations or appear in specific medical contexts, as well as tokens that are part of phrases indicating medical documentation or dictation."""	2B
12	1298	"""The token \""down\"" in medical contexts, often describing directions, positions, or conditions."""	2B
12	1299	"""Names or naming information, particularly surnames or changes to names."""	2B
12	13	"""Medication names, particularly those related to cardiovascular health."""	2B
12	130	"""Numerical values or quantities, often representing measurements, ages, or time intervals."""	2B
12	1301	"""Medication instructions or medical terms, particularly those related to dosing frequencies or medical devices."""	2B
12	1302	"""Heart-related conditions, treatments, and medical management."""	2B
12	1303	"""The model is activated by tokens that are part of medical instructions, indications, or settings, particularly those that are clinically relevant or related to administration of medication."""	2B
12	1304	"""Descriptions of patient condition or tolerance, often using adverbs or adjectives to convey degree or severity."""	2B
12	1305	"""The model is activated by the word \""officer\"" when referring to a person's occupation, and the word \""Therefore\"" when used as a transitional word to indicate a logical consequence or conclusion."""	2B
12	1306	"""References to external documents or information, such as operative notes, faxes, or attachments, that provide additional context or details."""	2B
12	1307	"""The model is activated by phrases indicating a lack of knowledge or uncertainty about a particular aspect of a patient's condition, often involving the word \""unknown\"" or synonyms like \""unclear\"" or \""uncertain\""."""	2B
12	1309	"""Medical issues or complications."""	2B
12	131	"""Numerical values, units, and time-related information, particularly those relevant to medical data and measurements."""	2B
12	1312	"""The model is activated by tokens that are part of a delimiter sequence, indicating that the activation levels are not necessarily related to the semantic meaning of the tokens themselves, but rather to their role as a delimiter or separator in the text."""	2B
12	1313	"""The digit \""1\"" followed by \""0\"" in a medical context, often indicating a dosage or quantity."""	2B
12	1314	"""The presence of staples in a medical context, often related to wound closure or removal."""	2B
12	1315	"""Medication dosages or formulations."""	2B
12	1317	"""Medication names."""	2B
12	1318	"""Polite directives or requests for action."""	2B
12	1319	"""The token \""context\"" is consistently activated when it appears in a phrase indicating a specific situation or condition that influences the interpretation or management of a medical finding or event."""	2B
12	132	"""Immediate family members."""	2B
12	1320	"""Units of measurement, medical abbreviations, or symbols used in medical notation."""	2B
12	1322	"""Medical terms, diagnoses, or procedures, particularly those related to body parts, conditions, or treatments."""	2B
12	1323	"""Tokens related to metadata or identifiers in medical records, such as dates, job numbers, unit numbers, and exam or test locations."""	2B
12	1324	"""Abbreviations or partial words of medical tests or terms, often related to laboratory results or medical procedures."""	2B
12	1325	"""Decimal numbers or numerical values, particularly those with a decimal point."""	2B
12	1326	"""Digits or numerical values, often indicating quantities or codes, in medical prescriptions or test information."""	2B
12	1327	"""The presence of \""Gu\"" is highly activated when it is part of the word \""Guaiac\"", which is a medical test for detecting blood in stool."""	2B
12	1328	"""The term \""Refills\""."""	2B
12	1329	"""Double quotation marks or single quotation marks that are part of a notation or identifier in medical diagnoses or test results."""	2B
12	1330	"""The antibiotic medication Ceftriaxone."""	2B
12	1331	"""Specific medical instructions, physician identities, or medical assessments."""	2B
12	1332	"""Units of measurement, abbreviations, or specific values in medical contexts."""	2B
12	1333	"""The presence of a specific medical term or a medication name, particularly when it is a distinct entity or a dosage instruction."""	2B
